1991-08-01,50
1991-09-01,42
1991-10-01,7
1991-11-01,2
1991-12-01,3
1992-01-01,2
1992-02-01,0
1992-03-01,1
1992-04-01,1
1992-05-01,4
1992-06-01,29
1992-07-01,50
1992-08-01,8
1992-09-01,2
1992-10-01,0
1992-11-01,0
1992-12-01,0
1993-01-01,0
1993-02-01,2
1993-03-01,0
1993-04-01,6
1993-05-01,11
1993-06-01,56
1993-07-01,41
1993-08-01,30
1993-09-01,16
1993-10-01,7
1993-11-01,7
1993-12-01,2
1994-01-01,0
1994-02-01,3
1994-03-01,1
1994-04-01,2
1994-05-01,6
1994-06-01,59
1994-07-01,50
