Wave,Month,Date,Total_Cases
First,March,19,63
First,March,20,50
First,March,21,45
First,March,22,40
First,March,23,40
First,March,24,58
First,March,25,75
First,March,26,48
First,March,27,76
First,March,28,58
First,March,29,82
First,March,30,83
First,March,31,101
First,April,1,226
First,April,2,147
First,April,3,83
First,April,4,160
First,April,5,92
First,April,6,92
First,April,7,151
First,April,8,177
First,April,9,204
First,April,10,135
First,April,11,149
First,April,12,147
First,April,13,147
First,April,14,191
First,April,15,140
First,April,16,170
First,April,17,151
First,April,18,140
First,April,19,127
First,April,20,128
First,April,21,119
First,April,22,157
First,April,23,128
First,April,24,116
First,April,25,101
First,April,26,112
First,April,27,112
First,April,28,106
First,April,29,124
First,April,30,120
First,May,1,115
First,May,2,106
First,May,3,83
First,May,4,83
First,May,5,70
First,May,6,78
First,May,7,68
First,May,8,67
First,May,9,88
First,May,10,51
First,May,11,51
First,May,12,46
First,May,13,77
First,May,14,52
First,May,15,50
First,May,16,54
First,May,17,34
First,May,18,34
First,May,19,42
First,May,20,61
First,May,21,63
First,May,22,59
First,May,23,41
First,May,24,61
First,May,25,60
First,May,26,40
First,May,27,64
Second,May,28,79
Second,May,29,72
Second,May,30,88
Second,May,31,80
Second,June,1,80
Second,June,2,95
Second,June,3,91
Second,June,4,113
Second,June,5,159
Second,June,6,156
Second,June,7,159
Second,June,8,160
Second,June,9,162
Second,June,10,202
Second,June,11,132
Second,June,12,179
Second,June,13,191
Second,June,14,173
Second,June,15,173
Second,June,16,182
Second,June,17,164
Second,June,18,178
Second,June,19,214
Second,June,20,236
Second,June,21,198
Second,June,22,198
Second,June,23,178
Second,June,24,162
Second,June,25,189
Second,June,26,189
Second,June,27,194
Second,June,28,138
Second,June,29,138
Second,June,30,147
Second,July,1,118
Second,July,2,99
Second,July,3,97
Second,July,4,88
Second,July,5,98
Second,July,6,98
Second,July,7,85
Second,July,8,80
Second,July,9,74
Second,July,10,90
Second,July,11,61
Second,July,12,53
Second,July,13,52
Second,July,14,44
Second,July,15,51
Second,July,16,33
Second,July,17,37
Second,July,18,36
Second,July,19,19
Second,July,20,19
Second,July,21,32
Second,July,22,26
Second,July,23,37
Second,July,24,23
Second,July,25,34
Second,July,26,18
Second,July,27,18
Second,July,28,23
Second,July,29,23
Second,July,30,12
Second,July,31,17
Second,August,1,8
Second,August,2,13
Second,August,3,12
Second,August,4,7
Second,August,5,10
